Ten-Year Age Groups,Deaths,Population,Suicide Rate
85+ years,21868.0,111841332.0,19.552699890949082
45-54 years,168477.0,926847987.0,18.17741445879625
75-84 years,51193.0,283736430.0,18.042448761338118
55-64 years,127558.0,762949044.0,16.719072001353737
35-44 years,149852.0,931287288.0,16.09084564246731
25-34 years,133793.0,920089469.0,14.541303265367555
65-74 years,72185.0,501908080.0,14.382115545938213
15-24 years,105345.0,935794722.0,11.257276571816357
5-14 years,7210.0,825718091.0,0.8731793669759865
1-4 years,0.0,348570379.0,0.0
< 1 year,0.0,86913756.0,0.0
